seed,fold,method,precision,recall,f1,accuracy,auc_roc
0,0,tas_vanet,0.973015873015873,0.8912474556557138,0.930338442859311,0.9368551382583574,0.9623137912001561
0,0,sae_only,0.9377150722642807,0.7923815062518174,0.8589440504334122,0.8768743981290411,0.9164948672765247
0,0,rf,0.9700187382885697,0.9031695260250072,0.9354012949856949,0.94098225340487,0.9605931273664016
0,0,svm,0.9549645390070922,0.783076475719686,0.8605208499760345,0.8799009492364837,0.91492828764206
0,0,mlp,0.9519289650949173,0.9040418726373946,0.9273676360924683,0.9330031641216123,0.9599760693079005
0,1,tas_vanet,0.9704745166959579,0.7977463160936146,0.8756739613066921,0.8921447241711377,0.9323218018787983
0,1,sae_only,0.9215922798552473,0.6622363478763363,0.7706792199058508,0.812353831338561,0.8575240555627046
0,1,rf,0.9684531886024423,0.8249060965039006,0.8909346231861445,0.9038382170862567,0.9348045993895969
0,1,svm,0.944202266782912,0.6258306847731869,0.7527367506516073,0.8042371715504196,0.8485364530094037
0,1,mlp,0.9472286757384667,0.8246171626697486,0.8816805684275564,0.8946209932590452,0.9328572930905965
0,2,tas_vanet,0.9600895188362552,0.7910264290104487,0.867396798652064,0.8917320126564865,0.9425953381641218
0,2,sae_only,0.9251485148514852,0.7178856791641057,0.8084443675376363,0.8477094510936856,0.8908033871139344
0,2,rf,0.9765598069631162,0.870620774431469,0.9205523964256702,0.9327280231118448,0.9563963042707855
0,2,svm,0.9373464373464373,0.7034419176398279,0.8037219101123596,0.8461961755399642,0.8864109007325784
0,2,mlp,0.9618567830154732,0.8214505224339275,0.886126305320736,0.9054890631448618,0.948592976093797
0,3,tas_vanet,0.9535978480161399,0.8405453467694132,0.8935097668557026,0.907002338698583,0.9433894167662857
0,3,sae_only,0.9143284698840254,0.7243627741553053,0.808334711427154,0.8405557848397304,0.8856114073261283
0,3,rf,0.969179229480737,0.8574392412566686,0.9098914923730146,0.9211721007016096,0.9499475335439095
0,3,svm,0.9317647058823529,0.7042086544161233,0.8021607022282242,0.8387673682762415,0.8823669714717925
0,3,mlp,0.9712624016421485,0.8414344991108477,0.9016992218516754,0.914843857476957,0.9434952247535142
0,4,tas_vanet,0.9042690815006468,0.8680533995653523,0.8857912244574687,0.9008116659788141,0.9418837501671957
0,4,sae_only,0.8936084142394822,0.6858118596709096,0.7760407518004567,0.824597606273215,0.8701690778647536
0,4,rf,0.9626168224299065,0.8314188140329091,0.8922205563884724,0.9109918833402119,0.9417329288525278
0,4,svm,0.9098675779581376,0.6612853151195281,0.7659115426105717,0.8208832026413537,0.8605391004929361
0,4,mlp,0.9651329978432782,0.833592052157715,0.894552723638181,0.9129178704085844,0.9422732089192344
0,5,tas_vanet,0.9582484725050916,0.8084192439862543,0.8769804287045666,0.8910441601320677,0.9351318464292679
0,5,sae_only,0.9344331641285956,0.6325887743413516,0.7544398907103825,0.8021736139771632,0.8594819855270385
0,5,rf,0.9702540106951871,0.8313287514318443,0.8954349167180753,0.9067271976888155,0.9460193972622016
0,5,svm,0.9344192027432491,0.6242840778923253,0.7484978540772532,0.798459210345302,0.8534019739054827
0,5,mlp,0.9682380474757606,0.8293241695303551,0.8934135431127564,0.9049387811253268,0.9444175286543226
0,6,tas_vanet,0.8797898640296663,0.8490903668356695,0.8641675519805737,0.8768743981290411,0.9314488085159662
0,6,sae_only,0.9061371841155235,0.6737250223680287,0.772836127266507,0.8173063695143761,0.8648703751035387
0,6,rf,0.9665055248618785,0.8347748285117805,0.8958233317330773,0.9104416013206769,0.9421015345518642
0,6,svm,0.9309605488850772,0.647479868774232,0.763764291996482,0.8152428119411198,0.8595159092508439
0,6,mlp,0.9592326139088729,0.8350730688935282,0.8928571428571429,0.907552620718118,0.938979530473983
0,7,tas_vanet,0.8838805970149254,0.8409542743538767,0.861883277543298,0.8694455908653185,0.9249694317704082
0,7,sae_only,0.9391197038255862,0.6483953422323203,0.7671370967741935,0.8093272802311184,0.8646861020187762
0,7,rf,0.9772202046880158,0.8406702641295086,0.9038167938931297,0.9133305819232357,0.9459800883674928
0,7,svm,0.9359445124439004,0.6515194547003692,0.768251841929002,0.809602421240886,0.8586337213796047
0,7,mlp,0.9609629147690306,0.8389662027833003,0.8958301743745262,0.9054890631448618,0.9424543226992672
0,8,tas_vanet,0.9322865554465162,0.8479619160963999,0.8881271424119663,0.9012243774934654,0.939466324085322
0,8,sae_only,0.9256131885806193,0.6849152038083903,0.7872777017783857,0.8288622919246114,0.8757566547705223
0,8,rf,0.9660960053709299,0.8562927700089259,0.9078864353312303,0.9196588251478883,0.9456764738037645
0,8,svm,0.9388429752066115,0.6759892889021125,0.78602317938073,0.8298252854587976,0.8658986349836785
0,8,mlp,0.9587770525592579,0.8304076167807201,0.8899872448979592,0.9050763516302105,0.9369022172264981
0,9,tas_vanet,0.9317517062073448,0.8472222222222222,0.887478718464634,0.8999862429495116,0.934950756227352
0,9,sae_only,0.926232741617357,0.693853427895981,0.7933772596722419,0.8317512725271702,0.87713743378637
0,9,rf,0.9744201909959073,0.8442671394799054,0.9046865104496516,0.9171825560599808,0.9393175470303129
0,9,svm,0.9460702341137124,0.6687352245862884,0.7835872576177285,0.8280368688953088,0.873164577951812
0,9,mlp,0.9524759056164839,0.8469267139479906,0.8966056624432973,0.9090658962718393,0.9406729297686744
