method,precision,recall,f1,accuracy,auc_roc
rf_hybrid,0.9757632987094744,0.8156821470859098,0.8885704048728055,0.899215762525115,0.9286155685617302
rf_plain,0.9791562447890612,0.7725299302723326,0.8636564200617738,0.8798366712035777,0.913683104319504
rf_hybrid_leaky_relu,0.977735368956743,0.8088409419813183,0.8853049175606595,0.8967528679758896,0.9275889911615722
