attack_id,n_attack,method,precision,recall,f1,accuracy,auc_roc
1,1066,tas_vanet_oneclass,0.13333333333333333,0.15384615384615385,0.14285714285714285,0.8710269349236516,0.7354993853826154
1,1066,tas_vanet_supervised,0.6027312228429547,0.9108818011257036,0.7254389241688457,0.951831705878498,0.9809169861368386
1,1066,rf,0.7113055181695828,0.9915572232645403,0.8283699059561128,0.9712956288092274,0.9970548399450143
1,1066,mlp,0.6231474947071277,0.8283302063789869,0.7112364075714861,0.9530113375712694,0.959384326417285
2,1091,tas_vanet_oneclass,0.06409130816505706,0.06691109074243813,0.06547085201793722,0.863648259617901,0.4782764292411739
2,1091,tas_vanet_supervised,0.07647907647907648,0.04857928505957837,0.05941704035874439,0.8902119863909971,0.5021633481035274
2,1091,rf,0.08370044052863436,0.034830430797433545,0.04919093851132686,0.9038864171682806,0.4906864339665252
2,1091,mlp,0.07540603248259861,0.05957836846929423,0.06656426011264721,0.8807249411148914,0.4990399470750321
3,1041,tas_vanet_oneclass,0.44766839378238343,0.829971181556196,0.581622349377314,0.9184061966653538,0.9527396201926873
3,1041,tas_vanet_supervised,0.5823068309070548,0.9990393852065321,0.7357622921825256,0.9509649468294604,0.9997504553833921
3,1041,rf,0.7023004059539919,0.9971181556195965,0.8241365621278285,0.9709203098332677,0.9990257133832192
3,1041,mlp,0.6312916919345057,1.0,0.7739776951672862,0.9600892739923854,0.9999222330446209
4,1033,tas_vanet_oneclass,0.1465172137710168,0.1771539206195547,0.16038562664329536,0.874162616576908,0.6656443201177189
4,1033,tas_vanet_supervised,0.6345698500394633,0.7783155856727977,0.6991304347826087,0.9545514251937476,0.9221220405816128
4,1033,rf,0.6103773584905661,0.6263310745401742,0.6182513139034879,0.9475239721528964,0.8705458201072491
4,1033,mlp,0.6183844011142061,0.8596321393998064,0.7193195625759417,0.9544857480625246,0.9460874356276007
5,1046,tas_vanet_oneclass,0.21961932650073207,0.28680688336520077,0.24875621890547264,0.8810945600104994,0.761477259883181
5,1046,tas_vanet_supervised,0.4739803094233474,0.9665391969407265,0.6360490720352312,0.9240763829647615,0.9839669300798511
5,1046,rf,0.6885130373502466,0.9340344168260039,0.7926977687626775,0.9664676159853008,0.9783788806563007
5,1046,mlp,0.596574128765505,0.9655831739961759,0.737495436290617,0.9528184264059322,0.9859612883791716
6,1078,tas_vanet_oneclass,0.07625649913344887,0.08163265306122448,0.07885304659498207,0.8653657258856656,0.6121028723166597
6,1078,tas_vanet_supervised,0.4218248509857863,0.8534322820037106,0.5645903651426818,0.90707877676642,0.935668266268864
6,1078,rf,0.6565821749795585,0.7448979591836735,0.6979574098218166,0.9544889005304171,0.920312666870326
6,1078,mlp,0.5717948717948718,0.8274582560296846,0.6762699014404853,0.9440770087093183,0.9361970879318465
7,1029,tas_vanet_oneclass,0.27235494880546074,0.3877551020408163,0.3199679230152366,0.888582315070293,0.8544903361592245
7,1029,tas_vanet_supervised,0.7180585296216988,0.9776482021379981,0.8279835390946502,0.972539745105768,0.9901289299526717
7,1029,rf,0.6937931034482758,0.9776482021379981,0.8116175877369908,0.9693207200105111,0.9943749560497972
7,1029,mlp,0.5958944281524927,0.9873663751214772,0.7432333577176299,0.953882538431218,0.9934303562090758
8,1051,tas_vanet_oneclass,0.10193765796124685,0.11512844909609896,0.10813226094727435,0.8690632379952768,0.6721879756996838
8,1051,tas_vanet_supervised,0.74090407938258,0.6393910561370124,0.686414708886619,0.9597218577801102,0.8955996922405096
8,1051,rf,0.6361344537815126,0.7202664129400571,0.6755912539045069,0.9523091052217266,0.9345522373601438
8,1051,mlp,0.5650069156293223,0.7773549000951475,0.6543852623147778,0.9433875623196012,0.9275139518462452
