method,ref_f1_mean,comp_f1_mean,mean_diff,wilcoxon_p,cohens_d
SAE only (no WOA),0.8831347313236277,0.7897511177306221,0.09338361359300565,0.0009765625,5.071441974734866
Random Forest,0.8831347313236277,0.9056648351484162,-0.022530103824788383,1.0,-1.473086113426091
SVM (RBF),0.8831347313236277,0.7835176180579994,0.0996171132656284,0.0009765625,4.669136197223719
MLP,0.8831347313236277,0.8960120223016299,-0.01287729097800221,0.998046875,-1.1089503233388083
